WEEK,VISITING,HOME,DATE,TIME,TV,,
WEEK 1,BAL ,@DEN ,"THURSDAY, SEPTEMBER 5TH",8:30PM ET,NBC,,
WEEK 1,NE ,@BUF ,"SUNDAY, SEPTEMBER 8TH",1:00PM ET,CBS,,
WEEK 1,CIN ,@CHI ,"SUNDAY, SEPTEMBER 8TH",1:00PM ET,CBS,,
WEEK 1,MIA ,@CLE ,"SUNDAY, SEPTEMBER 8TH",1:00PM ET,CBS,,
WEEK 1,OAK ,@IND ,"SUNDAY, SEPTEMBER 8TH",1:00PM ET,CBS,,
WEEK 1,KAN ,@JAC ,"SUNDAY, SEPTEMBER 8TH",1:00PM ET,CBS,,
WEEK 1,TB ,@NYJ ,"SUNDAY, SEPTEMBER 8TH",1:00PM ET,FOX,,
WEEK 1,TEN ,@PIT ,"SUNDAY, SEPTEMBER 8TH",1:00PM ET,CBS,,
WEEK 1,ATL ,@NO ,"SUNDAY, SEPTEMBER 8TH",1:00PM ET,FOX,,
WEEK 1,SEA ,@CAR ,"SUNDAY, SEPTEMBER 8TH",1:00PM ET,FOX,,
WEEK 1,MIN ,@DET ,"SUNDAY, SEPTEMBER 8TH",1:00PM ET,FOX,,
WEEK 1,GB ,@SF ,"SUNDAY, SEPTEMBER 8TH",4:25PM ET,FOX,,
WEEK 1,ARI ,@STL ,"SUNDAY, SEPTEMBER 8TH",4:25PM ET,FOX,,
WEEK 1,NYG ,@DAL ,"SUNDAY, SEPTEMBER 8TH",8:30PM ET,NBC,,
WEEK 1,PHI ,@WAS ,"MONDAY, SEPTEMBER 9TH",7:10PM ET,ESPN,,
WEEK 1,HOU ,@SD ,"MONDAY, SEPTEMBER 9TH",10:20PM ET,ESPN,,
WEEK 2,NYJ ,@NE ,"THURSDAY, SEPTEMBER 12TH",8:25PM ET,NFL Network,,
WEEK 2,DAL ,@KAN ,"SUNDAY, SEPTEMBER 15TH",1:00PM ET,FOX,,
WEEK 2,STL ,@ATL ,"SUNDAY, SEPTEMBER 15TH",1:00PM ET,FOX,,
WEEK 2,SD ,@PHI ,"SUNDAY, SEPTEMBER 15TH",1:00PM ET,CBS,,
WEEK 2,TEN ,@HOU ,"SUNDAY, SEPTEMBER 15TH",1:00PM ET,CBS,,
WEEK 2,MIA ,@IND ,"SUNDAY, SEPTEMBER 15TH",1:00PM ET,CBS,,
WEEK 2,CAR ,@BUF ,"SUNDAY, SEPTEMBER 15TH",1:00PM ET,FOX,,
WEEK 2,CLE ,@BAL ,"SUNDAY, SEPTEMBER 15TH",1:00PM ET,CBS,,
WEEK 2,WAS ,@GB ,"SUNDAY, SEPTEMBER 15TH",1:00PM ET,FOX,,
WEEK 2,MIN ,@CHI ,"SUNDAY, SEPTEMBER 15TH",1:00PM ET,FOX,,
WEEK 2,NO ,@TB ,"SUNDAY, SEPTEMBER 15TH",4:05PM ET,FOX,,
WEEK 2,DET ,@ARI ,"SUNDAY, SEPTEMBER 15TH",4:05PM ET,FOX,,
WEEK 2,JAC ,@OAK ,"SUNDAY, SEPTEMBER 15TH",4:25PM ET,CBS,,
WEEK 2,DEN ,@NYG ,"SUNDAY, SEPTEMBER 15TH",4:25PM ET,CBS,,
WEEK 2,SF ,@SEA ,"SUNDAY, SEPTEMBER 15TH",8:30PM ET,NBC,,
WEEK 2,PIT ,@CIN ,"MONDAY, SEPTEMBER 16TH",8:40PM ET,ESPN,,
WEEK 3,KAN ,@PHI ,"THURSDAY, SEPTEMBER 19TH",8:25PM ET,NFL Network,,
WEEK 3,TB ,@NE ,"SUNDAY, SEPTEMBER 22ND",1:00PM ET,FOX,,
WEEK 3,ARI ,@NO ,"SUNDAY, SEPTEMBER 22ND",1:00PM ET,FOX,,
WEEK 3,SD ,@TEN ,"SUNDAY, SEPTEMBER 22ND",1:00PM ET,CBS,,
WEEK 3,GB ,@CIN ,"SUNDAY, SEPTEMBER 22ND",1:00PM ET,FOX,,
