START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
09/15/2013,6:00 PM,6:00 PM,Pittsburgh 4 - Columbus 5,Nationwide Arena - Columbus,NHLN-US /  ROOT,09/15/2013,09/15/2013,9:00 PM,9:00 PM,FALSE,TRUE,09/15/2013,5:00 PM,5:00 PM,FREE,BUSY
09/16/2013,7:00 PM,7:00 PM,Detroit 4 - Pittsburgh 1,CONSOL Energy Center - Pittsburgh,WPCW,09/16/2013,09/16/2013,10:00 PM,10:00 PM,FALSE,TRUE,09/16/2013,6:00 PM,6:00 PM,FREE,BUSY
09/19/2013,7:00 PM,8:00 PM,Pittsburgh at Chicago,United Center - Chicago,ROOT /  CSN-CH,09/19/2013,09/19/2013,10:00 PM,11:00 PM,FALSE,TRUE,09/19/2013,6:00 PM,7:00 PM,FREE,BUSY
09/21/2013,4:00 PM,4:00 PM,Columbus at Pittsburgh,CONSOL Energy Center - Pittsburgh,NHLN-US /  ROOT,09/21/2013,09/21/2013,7:00 PM,7:00 PM,FALSE,TRUE,09/21/2013,3:00 PM,3:00 PM,FREE,BUSY
09/23/2013,7:00 PM,7:00 PM,Chicago at Pittsburgh,CONSOL Energy Center - Pittsburgh,WPCW,09/23/2013,09/23/2013,10:00 PM,10:00 PM,FALSE,TRUE,09/23/2013,6:00 PM,6:00 PM,FREE,BUSY
09/25/2013,7:30 PM,7:30 PM,Pittsburgh at Detroit,Joe Louis Arena - Detroit,NHLN-US /  ROOT /  FS-D+,09/25/2013,09/25/2013,10:30 PM,10:30 PM,FALSE,TRUE,09/25/2013,6:30 PM,6:30 PM,FREE,BUSY
10/03/2013,7:00 PM,7:00 PM,New Jersey at Pittsburgh,CONSOL Energy Center - Pittsburgh - PA,MSG PLUS /  ROOT,10/03/2013,10/03/2013,10:00 PM,10:00 PM,FALSE,TRUE,10/03/2013,6:00 PM,6:00 PM,FREE,BUSY
10/05/2013,7:00 PM,7:00 PM,Buffalo at Pittsburgh,CONSOL Energy Center - Pittsburgh - PA,MSG-B /  ROOT,10/05/2013,10/05/2013,10:00 PM,10:00 PM,FALSE,TRUE,10/05/2013,6:00 PM,6:00 PM,FREE,BUSY
10/08/2013,7:00 PM,7:00 PM,Carolina at Pittsburgh,CONSOL Energy Center - Pittsburgh - PA,FS-CR /  ROOT,10/08/2013,10/08/2013,10:00 PM,10:00 PM,FALSE,TRUE,10/08/2013,6:00 PM,6:00 PM,FREE,BUSY
10/11/2013,7:30 PM,7:30 PM,Pittsburgh at Florida,BB&T Center - Sunrise - FL,ROOT /  FS-F,10/11/2013,10/11/2013,10:30 PM,10:30 PM,FALSE,TRUE,10/11/2013,6:30 PM,6:30 PM,FREE,BUSY
10/12/2013,7:00 PM,7:00 PM,Pittsburgh at Tampa Bay,Tampa Bay Times Forum - Tampa - FL,ROOT /  SUN,10/12/2013,10/12/2013,10:00 PM,10:00 PM,FALSE,TRUE,10/12/2013,6:00 PM,6:00 PM,FREE,BUSY
10/15/2013,7:00 PM,7:00 PM,Edmonton at Pittsburgh,CONSOL Energy Center - Pittsburgh - PA,SNET-W /  ROOT,10/15/2013,10/15/2013,10:00 PM,10:00 PM,FALSE,TRUE,10/15/2013,6:00 PM,6:00 PM,FREE,BUSY
10/17/2013,7:00 PM,7:00 PM,Pittsburgh at Philadelphia,Wells Fargo Center - Philadelphia - PA,NHLN-US /  ROOT /  CSN-PH,10/17/2013,10/17/2013,10:00 PM,10:00 PM,FALSE,TRUE,10/17/2013,6:00 PM,6:00 PM,FREE,BUSY
10/19/2013,1:00 PM,1:00 PM,Vancouver at Pittsburgh,CONSOL Energy Center - Pittsburgh - PA,NHLN-US /  SNET-P /  ROOT,10/19/2013,10/19/2013,4:00 PM,4:00 PM,FALSE,TRUE,10/19/2013,12:00 PM,12:00 PM,FREE,BUSY
10/21/2013,7:30 PM,7:30 PM,Colorado at Pittsburgh,CONSOL Energy Center - Pittsburgh - PA,TSN2 / NBCSN /  ROOT,10/21/2013,10/21/2013,10:30 PM,10:30 PM,FALSE,TRUE,10/21/2013,6:30 PM,6:30 PM,FREE,BUSY
10/25/2013,7:00 PM,7:00 PM,Ny Islanders at Pittsburgh,CONSOL Energy Center - Pittsburgh - PA,MSG PLUS /  ROOT,10/25/2013,10/25/2013,10:00 PM,10:00 PM,FALSE,TRUE,10/25/2013,6:00 PM,6:00 PM,FREE,BUSY
10/26/2013,7:00 PM,7:00 PM,Pittsburgh at Toronto,Air Canada Centre - Toronto - ON,CBC /  ROOT,10/26/2013,10/26/2013,10:00 PM,10:00 PM,FALSE,TRUE,10/26/2013,6:00 PM,6:00 PM,FREE,BUSY
10/28/2013,7:00 PM,7:00 PM,Pittsburgh at Carolina,PNC Arena - Raleigh - NC,ROOT /  FS-CR,10/28/2013,10/28/2013,10:00 PM,10:00 PM,FALSE,TRUE,10/28/2013,6:00 PM,6:00 PM,FREE,BUSY
10/30/2013,8:00 PM,8:00 PM,Boston at Pittsburgh,CONSOL Energy Center - Pittsburgh - PA,NBCSN,10/30/2013,10/30/2013,11:00 PM,11:00 PM,FALSE,TRUE,10/30/2013,7:00 PM,7:00 PM,FREE,BUSY
11/01/2013,7:00 PM,7:00 PM,Columbus at Pittsburgh,CONSOL Energy Center - Pittsburgh - PA,FS-O /  ROOT,11/01/2013,11/01/2013,10:00 PM,10:00 PM,FALSE,TRUE,11/01/2013,6:00 PM,6:00 PM,FREE,BUSY
11/02/2013,7:00 PM,7:00 PM,Pittsburgh at Columbus,Nationwide Arena - Columbus - OH,ROOT /  FS-O,11/02/2013,11/02/2013,10:00 PM,10:00 PM,FALSE,TRUE,11/02/2013,6:00 PM,6:00 PM,FREE,BUSY
11/06/2013,7:30 PM,7:30 PM,Pittsburgh at Ny Rangers,Madison Square Garden - New York - NY,TSN2 / NBCSN,11/06/2013,11/06/2013,10:30 PM,10:30 PM,FALSE,TRUE,11/06/2013,6:30 PM,6:30 PM,FREE,BUSY
11/09/2013,7:00 PM,8:00 PM,Pittsburgh at St Louis,Scottrade Center - St. Louis - MO,ROOT /  FS-MW,11/09/2013,11/09/2013,10:00 PM,11:00 PM,FALSE,TRUE,11/09/2013,6:00 PM,7:00 PM,FREE,BUSY
11/13/2013,8:00 PM,8:00 PM,Philadelphia at Pittsburgh,CONSOL Energy Center - Pittsburgh - PA,TSN2 / NBCSN,11/13/2013,11/13/2013,11:00 PM,11:00 PM,FALSE,TRUE,11/13/2013,7:00 PM,7:00 PM,FREE,BUSY
11/15/2013,7:00 PM,7:00 PM,Nashville at Pittsburgh,CONSOL Energy Center - Pittsburgh - PA,SPSO /  ROOT,11/15/2013,11/15/2013,10:00 PM,10:00 PM,FALSE,TRUE,11/15/2013,6:00 PM,6:00 PM,FREE,BUSY
11/16/2013,7:00 PM,7:00 PM,Pittsburgh at New Jersey,Prudential Center - Newark - NJ,ROOT /  MSG PLUS,11/16/2013,11/16/2013,10:00 PM,10:00 PM,FALSE,TRUE,11/16/2013,6:00 PM,6:00 PM,FREE,BUSY
11/18/2013,7:30 PM,7:30 PM,Anaheim at Pittsburgh,CONSOL Energy Center - Pittsburgh - PA,TSN2 / NBCSN /  ROOT,11/18/2013,11/18/2013,10:30 PM,10:30 PM,FALSE,TRUE,11/18/2013,6:30 PM,6:30 PM,FREE,BUSY
11/20/2013,8:00 PM,8:00 PM,Pittsburgh at Washington,Verizon Center - Washington - DC,TSN2 / NBCSN,11/20/2013,11/20/2013,11:00 PM,11:00 PM,FALSE,TRUE,11/20/2013,7:00 PM,7:00 PM,FREE,BUSY
11/22/2013,7:00 PM,7:00 PM,Ny Islanders at Pittsburgh,CONSOL Energy Center - Pittsburgh - PA,MSG PLUS /  ROOT,11/22/2013,11/22/2013,10:00 PM,10:00 PM,FALSE,TRUE,11/22/2013,6:00 PM,6:00 PM,FREE,BUSY
11/23/2013,7:00 PM,7:00 PM,Pittsburgh at Montreal,Centre Bell - Montreal - QC,CBC / RDS /  ROOT,11/23/2013,11/23/2013,10:00 PM,10:00 PM,FALSE,TRUE,11/23/2013,6:00 PM,6:00 PM,FREE,BUSY
11/25/2013,7:00 PM,7:00 PM,Pittsburgh at Boston,TD Garden - Boston - MA,ROOT /  NESN,11/25/2013,11/25/2013,10:00 PM,10:00 PM,FALSE,TRUE,11/25/2013,6:00 PM,6:00 PM,FREE,BUSY
11/27/2013,7:30 PM,7:30 PM,Toronto at Pittsburgh,CONSOL Energy Center - Pittsburgh - PA,TSN /  ROOT,11/27/2013,11/27/2013,10:30 PM,10:30 PM,FALSE,TRUE,11/27/2013,6:30 PM,6:30 PM,FREE,BUSY
11/29/2013,4:00 PM,4:00 PM,Pittsburgh at Tampa Bay,Tampa Bay Times Forum - Tampa - FL,ROOT /  SUN,11/29/2013,11/29/2013,7:00 PM,7:00 PM,FALSE,TRUE,11/29/2013,3:00 PM,3:00 PM,FREE,BUSY
11/30/2013,7:00 PM,7:00 PM,Pittsburgh at Florida,BB&T Center - Sunrise - FL,ROOT /  FS-F,11/30/2013,11/30/2013,10:00 PM,10:00 PM,FALSE,TRUE,11/30/2013,6:00 PM,6:00 PM,FREE,BUSY
12/03/2013,7:00 PM,7:00 PM,Pittsburgh at Ny Islanders,Nassau Coliseum - Uniondale - NY,ROOT /  MSG PLUS,12/03/2013,12/03/2013,10:00 PM,10:00 PM,FALSE,TRUE,12/03/2013,6:00 PM,6:00 PM,FREE,BUSY
12/05/2013,7:00 PM,7:00 PM,San Jose at Pittsburgh,CONSOL Energy Center - Pittsburgh - PA,CSN-CA /  ROOT,12/05/2013,12/05/2013,10:00 PM,10:00 PM,FALSE,TRUE,12/05/2013,6:00 PM,6:00 PM,FREE,BUSY
12/07/2013,7:00 PM,7:00 PM,Pittsburgh at Boston,TD Garden - Boston - MA,NHLN-US /  ROOT /  NESN,12/07/2013,12/07/2013,10:00 PM,10:00 PM,FALSE,TRUE,12/07/2013,6:00 PM,6:00 PM,FREE,BUSY
12/09/2013,7:30 PM,7:30 PM,Columbus at Pittsburgh,CONSOL Energy Center - Pittsburgh - PA,TSN2 / NBCSN /  ROOT,12/09/2013,12/09/2013,10:30 PM,10:30 PM,FALSE,TRUE,12/09/2013,6:30 PM,6:30 PM,FREE,BUSY
12/13/2013,7:00 PM,7:00 PM,New Jersey at Pittsburgh,CONSOL Energy Center - Pittsburgh - PA,MSG PLUS /  ROOT,12/13/2013,12/13/2013,10:00 PM,10:00 PM,FALSE,TRUE,12/13/2013,6:00 PM,6:00 PM,FREE,BUSY
12/14/2013,7:00 PM,7:00 PM,Pittsburgh at Detroit,Joe Louis Arena - Detroit - MI,NHLN-US /  ROOT /  FS-D,12/14/2013,12/14/2013,10:00 PM,10:00 PM,FALSE,TRUE,12/14/2013,6:00 PM,6:00 PM,FREE,BUSY
12/16/2013,7:00 PM,7:00 PM,Toronto at Pittsburgh,CONSOL Energy Center - Pittsburgh - PA,NHLN-US /  SNET-O /  ROOT,12/16/2013,12/16/2013,10:00 PM,10:00 PM,FALSE,TRUE,12/16/2013,6:00 PM,6:00 PM,FREE,BUSY
12/18/2013,8:00 PM,8:00 PM,Pittsburgh at Ny Rangers,Madison Square Garden - New York - NY,TSN2 / NBCSN,12/18/2013,12/18/2013,11:00 PM,11:00 PM,FALSE,TRUE,12/18/2013,7:00 PM,7:00 PM,FREE,BUSY
12/19/2013,7:00 PM,7:00 PM,Minnesota at Pittsburgh,CONSOL Energy Center - Pittsburgh - PA,NHLN-US /  FS-N /  ROOT,12/19/2013,12/19/2013,10:00 PM,10:00 PM,FALSE,TRUE,12/19/2013,6:00 PM,6:00 PM,FREE,BUSY
12/21/2013,1:00 PM,1:00 PM,Calgary at Pittsburgh,CONSOL Energy Center - Pittsburgh - PA,SNET-W /  ROOT,12/21/2013,12/21/2013,4:00 PM,4:00 PM,FALSE,TRUE,12/21/2013,12:00 PM,12:00 PM,FREE,BUSY
12/23/2013,7:30 PM,7:30 PM,Pittsburgh at Ottawa,Canadian Tire Centre - Ottawa - ON,ROOT /  SNET-E,12/23/2013,12/23/2013,10:30 PM,10:30 PM,FALSE,TRUE,12/23/2013,6:30 PM,6:30 PM,FREE,BUSY
