START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
02/24/13,01:05 PM,01:05 PM,Braves at Pirates,McKechnie Field,"Local Radio: KDKA 1020",02/24/13,02/24/13,04:05 PM,04:05 PM,FALSE,TRUE,02/24/13,12:05 PM,12:05 PM,FREE,BUSY
02/26/13,01:05 PM,01:05 PM,Orioles at Pirates,McKechnie Field,"Local Radio: MLB.com",02/26/13,02/26/13,04:05 PM,04:05 PM,FALSE,TRUE,02/26/13,12:05 PM,12:05 PM,FREE,BUSY
02/27/13,01:05 PM,01:05 PM,Rays at Pirates,McKechnie Field,"Local Radio: MLB.com",02/27/13,02/27/13,04:05 PM,04:05 PM,FALSE,TRUE,02/27/13,12:05 PM,12:05 PM,FREE,BUSY
02/28/13,01:05 PM,01:05 PM,Red Sox at Pirates,McKechnie Field,"Local Radio: MLB.com",02/28/13,02/28/13,04:05 PM,04:05 PM,FALSE,TRUE,02/28/13,12:05 PM,12:05 PM,FREE,BUSY
03/03/13,01:05 PM,01:05 PM,Astros at Pirates,McKechnie Field,"Local Radio: KDKA 1020",03/03/13,03/03/13,04:05 PM,04:05 PM,FALSE,TRUE,03/03/13,12:05 PM,12:05 PM,FREE,BUSY
03/04/13,01:05 PM,01:05 PM,Phillies at Pirates,McKechnie Field,"Local Radio: MLB.com",03/04/13,03/04/13,04:05 PM,04:05 PM,FALSE,TRUE,03/04/13,12:05 PM,12:05 PM,FREE,BUSY
03/05/13,01:05 PM,01:05 PM,Spain at Pirates,McKechnie Field,,03/05/13,03/05/13,04:05 PM,04:05 PM,FALSE,TRUE,03/05/13,12:05 PM,12:05 PM,FREE,BUSY
03/07/13,01:05 PM,01:05 PM,Rays at Pirates,McKechnie Field,"Local Radio: MLB.com",03/07/13,03/07/13,04:05 PM,04:05 PM,FALSE,TRUE,03/07/13,12:05 PM,12:05 PM,FREE,BUSY
03/08/13,07:05 PM,07:05 PM,Orioles at Pirates,McKechnie Field,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",03/08/13,03/08/13,10:05 PM,10:05 PM,FALSE,TRUE,03/08/13,06:05 PM,06:05 PM,FREE,BUSY
03/09/13,01:05 PM,01:05 PM,Twins at Pirates,McKechnie Field,"Local TV: ROOT SPORTS -- MLBN (delay)",03/09/13,03/09/13,04:05 PM,04:05 PM,FALSE,TRUE,03/09/13,12:05 PM,12:05 PM,FREE,BUSY
03/11/13,01:05 PM,01:05 PM,Orioles at Pirates,McKechnie Field,"Local Radio: KDKA-FM 93.7",03/11/13,03/11/13,04:05 PM,04:05 PM,FALSE,TRUE,03/11/13,12:05 PM,12:05 PM,FREE,BUSY
03/13/13,01:05 PM,01:05 PM,Blue Jays at Pirates,McKechnie Field,"Local Radio: MLB.com",03/13/13,03/13/13,04:05 PM,04:05 PM,FALSE,TRUE,03/13/13,12:05 PM,12:05 PM,FREE,BUSY
03/17/13,01:05 PM,01:05 PM,Yankees at Pirates,McKechnie Field,"Local Radio: KDKA-FM 93.7",03/17/13,03/17/13,04:05 PM,04:05 PM,FALSE,TRUE,03/17/13,12:05 PM,12:05 PM,FREE,BUSY
