Div,Team ID,Team,Opp ID,Opp,Date,Location
FBS,721,Air Force,153,Colgate,8/31/2013,Home
FBS,721,Air Force,731,Utah St.,9/7/2013,Home
FBS,721,Air Force,66,Boise St.,9/13/2013,Away
FBS,721,Air Force,811,Wyoming,9/21/2013,Home
FBS,721,Air Force,466,Nevada,9/28/2013,Away
FBS,721,Air Force,726,Navy,10/5/2013,Away
FBS,721,Air Force,626,San Diego St.,10/10/2013,Home
FBS,721,Air Force,513,Notre Dame,10/26/2013,Home
FBS,721,Air Force,725,Army,11/2/2013,Home
FBS,721,Air Force,473,New Mexico,11/8/2013,Away
FBS,721,Air Force,465,UNLV,11/21/2013,Home
FBS,721,Air Force,156,Colorado St.,11/30/2013,Away
FBS,5,Akron,128,UCF,8/29/2013,Away
FBS,5,Akron,317,James Madison,9/7/2013,Home
FBS,5,Akron,418,Michigan,9/14/2013,Away
FBS,5,Akron,671,La.-Lafayette,9/21/2013,Home
FBS,5,Akron,71,Bowling Green,9/28/2013,Away
FBS,5,Akron,519,Ohio,10/5/2013,Home
FBS,5,Akron,503,Northern Ill.,10/12/2013,Away
FBS,5,Akron,414,Miami (OH),10/19/2013,Away
FBS,5,Akron,47,Ball St.,10/26/2013,Home
FBS,5,Akron,331,Kent St.,11/2/2013,Home
FBS,5,Akron,400,Massachusetts,11/16/2013,Away
FBS,5,Akron,709,Toledo,11/29/2013,Home
FBS,8,Alabama,742,Virginia Tech,8/31/2013,Neutral
FBS,8,Alabama,697,Texas A&M,9/14/2013,Away
FBS,8,Alabama,156,Colorado St.,9/21/2013,Home
FBS,8,Alabama,433,Ole Miss,9/28/2013,Home
FBS,8,Alabama,254,Georgia St.,10/5/2013,Home
FBS,8,Alabama,334,Kentucky,10/12/2013,Away
FBS,8,Alabama,31,Arkansas,10/19/2013,Home
FBS,8,Alabama,694,Tennessee,10/26/2013,Home
FBS,8,Alabama,365,LSU,11/9/2013,Home
FBS,8,Alabama,430,Mississippi St.,11/16/2013,Away
FBS,8,Alabama,693,Chattanooga,11/23/2013,Home
FBS,8,Alabama,37,Auburn,11/30/2013,Away
FBS,29,Arizona,501,Northern Ariz.,8/30/2013,Home
FBS,29,Arizona,465,UNLV,9/7/2013,Away
FBS,29,Arizona,706,UTSA,9/14/2013,Home
FBS,29,Arizona,756,Washington,9/28/2013,Away
FBS,29,Arizona,657,Southern California,10/10/2013,Away
FBS,29,Arizona,732,Utah,10/19/2013,Home
FBS,29,Arizona,157,Colorado,10/26/2013,Away
FBS,29,Arizona,107,California,11/2/2013,Away
FBS,29,Arizona,110,UCLA,11/9/2013,Home
FBS,29,Arizona,754,Washington St.,11/16/2013,Home
FBS,29,Arizona,529,Oregon,11/23/2013,Home
FBS,29,Arizona,28,Arizona St.,11/30/2013,Away
FBS,28,Arizona St.,102,Sacramento St.,9/5/2013,Home
FBS,28,Arizona St.,796,Wisconsin,9/14/2013,Home
FBS,28,Arizona St.,674,Stanford,9/21/2013,Away
FBS,28,Arizona St.,657,Southern California,9/28/2013,Home
FBS,28,Arizona St.,513,Notre Dame,10/5/2013,Neutral
FBS,28,Arizona St.,157,Colorado,10/12/2013,Home
FBS,28,Arizona St.,756,Washington,10/19/2013,Home
FBS,28,Arizona St.,754,Washington St.,10/31/2013,Away
FBS,28,Arizona St.,732,Utah,11/9/2013,Away
FBS,28,Arizona St.,528,Oregon St.,11/16/2013,Home
FBS,28,Arizona St.,110,UCLA,11/23/2013,Away
FBS,28,Arizona St.,29,Arizona,11/30/2013,Home
FBS,31,Arkansas,671,La.-Lafayette,8/31/2013,Home
FBS,31,Arkansas,625,Samford,9/7/2013,Home
FBS,31,Arkansas,664,Southern Miss.,9/14/2013,Home
FBS,31,Arkansas,587,Rutgers,9/21/2013,Away
FBS,31,Arkansas,697,Texas A&M,9/28/2013,Home
